id,title,text,url,wiki_id,views,paragraph_id,langs
97305,Eugenics,"But some of those who led the eugenics movement used it to justify racism and prejudice. They used eugenics as an excuse to pass laws which to restrict immigration from countries that they did not like, saying that the people in them were genetically ""unfit"". They also passed laws which said that people of different races could not get married to one another. Most importantly, they passed laws which said that people who were thought to have mental illness or mental disability could be sterilised against their will. Under these laws over 60,000 people were sterilised in the United States between 1907 and the 1970s.",https://simple.wikipedia.org/wiki?curid=29255,29255,31.074968338012695,12,64
196159,Megaraptor,"Megaraptor was a large 26 feet (8 m) long late Cretaceous dinosaur. It had two large sickle-like claws on each hand. It was a lightly built biped, with a large head and sharp, serrated teeth in powerful jaws.",https://simple.wikipedia.org/wiki?curid=81188,81188,7.624619007110596,0,28
73851,Electric motor,"He connected the wire of the north pole to the negative pole of the battery and the wire of the south pole to the positive pole. The basic law of magnetism told him what would happen: the north end of the electromagnet would repel the north end of the horseshoe-shaped magnet and would attract the south pole. The same happened on the other side of the nail, with the result that the nail turned.",https://simple.wikipedia.org/wiki?curid=32062,32062,47.9824333190918,6,87
92429,China Eastern Airlines Flight 5735,"The accident was caught by security camera, shown in a near vertical dive without a vertical stabilizer, and with a white trail behind it as it descended, before disappearing out of view. A piece of the aircraft was found miles away from the final crash site of the aircraft, hinting to a midair breakup.",https://simple.wikipedia.org/wiki?curid=915905,915905,33.75039291381836,3,34
424686,Petitefontaine,Petitefontaine is a commune. It is in Bourgogne-Franche-Comté in the Territoire de Belfort department in northeast France.,https://simple.wikipedia.org/wiki?curid=832948,832948,0.0,0,31
1931,History of chess,"These changes made most of the older chess culture obsolete. The slow development in the openings was replaced by gambits and rapid attacks. The relative values of the pieces are changed. The game can now only be won by mate or resignation by one of the players. Originally, this was not seen as a problem, but as technique improved, so did the number of draws. This became a matter for discussion in the early 20th century. The limited number of ways to win changed what players needed to win in the endgame; many endgames which could be won with the old rules now were drawn.",https://simple.wikipedia.org/wiki?curid=234589,234589,749.2862548828125,12,34
125382,Evelyn Glennie,Dame Evelyn Elizabeth Ann Glennie (born 19 July 1965) is a Scottish musician specialising in percussion.,https://simple.wikipedia.org/wiki?curid=705892,705892,19.643686294555664,0,26
14868,Alec Douglas-Home,"A former peer as Prime Minister was open to attack, and Douglas-Home was attacked by the Labour Party leader Harold Wilson. Wilson attacked the new prime minister as ""an elegant anachronism"". He said that nobody from Douglas-Home's background knew the problems of ordinary families. In particular, Wilson asked how ""a scion of an effete establishment"" could lead the technological revolution which was needed. His premiership was ended by the general election of 1964, which put in the Labour Party with Harold Wilson as Prime Minister.",https://simple.wikipedia.org/wiki?curid=50633,50633,262.7409362792969,5,67
125985,Karl Denke,"On December 20, 1924, Denke was arrested after attacking a man at his house with an axe. Police searched Denke's home and found human flesh in huge jars of curing salts. A ledger (record book) contained the details of 30 people Denke had murdered and cannibalized (eaten) over the years. Police thought he sold the flesh of his victims at the Breslau (today's Wrocław) market.",https://simple.wikipedia.org/wiki?curid=301646,301646,19.514610290527344,2,18
156009,Hyperion (poem),"Keats worked on the poem mainly in August and September 1818. He finished the first two sections or ""Books,"" each between 350 and 400 lines long, and he also wrote 135 lines of Book III. But he was not satisfied with what he had written; he re-wrote it bit by bit until April 1819, when he gave up for a while. Some critics and scholars think that Keats set out to write the kind of long poem he had already done in his ""Endymion"" in 1817 – but his outlook on poetry had changed, to a point where he was no longer happy writing the kind of mythological epic that many other poets of his time tried to write.",https://simple.wikipedia.org/wiki?curid=101815,101815,12.712215423583984,1,9
345882,Jim Taylor,"The Pro Football Hall of Fame selection committee named Taylor to its NFL 1960s All-Decade Team, which comprised the best players of the 1960s at each position.",https://simple.wikipedia.org/wiki?curid=637984,637984,1.3862943649291992,2,8
102404,Graviton,"If someone found one, it could lead to a theory which would join the four main physical forces: electromagnetism, gravity, strong force and weak force.",https://simple.wikipedia.org/wiki?curid=49901,49901,28.249135971069336,3,65
